date,title,url,ticker
2025-03-03,“Friday Night Baseball” returns to Apple TV+ on March 28 - Apple,https://news.google.com/rss/articles/CBMinwFBVV95cUxNMEJGZ2NLTjZLNmUxempRbDJmTzRnRjlGVGZiTEoydVp6bjVlVG1yMzZyQjNRcjZwaFoySzFkR0Y5cEg2SDdvSmVXWUp5ZXNXRGtBWFVIR0NPd1NKRTRDaThVS1RiR0NTdURucVlhRUlnNmVtcFlhX0dxU2tDOHAtb1NrVlVJaWhJaGtFSW5pWEx1UGZEX2xRcFR2YmNlb1k?oc=5,AAPL
2025-03-04,Apple introduces iPad Air with powerful M3 chip and new Magic Keyboard - Apple,https://news.google.com/rss/articles/CBMirwFBVV95cUxPTmRKaFBYdmRFV1h4ZU13M3dzNi10bnR6ZGZzT1NYQzMzODdFQjg3OUZuUDlVdFNmT3R1ZlBKRm9LOU1jY1FkUTVrSmZmWFAtVFJjemk1NW9NSTlBTnpLVXlDaS05empvQjdGNm5xRS1PSGxzVFFNdEwtVURjMENBcF9iWHVaLUVUZzRKcGZxNTJaU2lQbC1xNDIyNmg2dWtYZGdOUVM2eDdiZkQ0UWk0?oc=5,AAPL
2025-03-04,Apple launches new iPad Air with AI features to stoke demand - Reuters,https://news.google.com/rss/articles/CBMipwFBVV95cUxPYlNNLUtnUHB5VWpoVHg0dWE1ckNaVlNYeXQ1YUpFaXI0WmRXcWhpZUJYUTZfV3JjNUNlMTQ4b1hJS3hMX0ZXb0V4VEt1V2M0cGo0S0FkUksxV1BlY01DQklzNHZ0Mkw4R3M1ZHpZZDJuYUFBS2RYZWFkclN6Q01EX3otdlJDUGh4UXcwNlhya2tTeFY1ZlBSQ0ZQOGJ2TF9Ea2V2dG1VOA?oc=5,AAPL
2025-03-05,Apple introduces the new MacBook Air with the M4 chip and a sky blue color - Apple,https://news.google.com/rss/articles/CBMitAFBVV95cUxPLVJ3MkFNNWYzbi1zYm9OamZfT1VzRXpiYVB5aUtLQnctRzhkZC0tWUEyejl2NHEtTU5BWWVFSUlmTnpwZ25YUUFBZl9Ncy1qQXQ4N0g3MTI3dXJmbTdxVUQtOUQ5YWM2SUFHY0NTTEFJOGtFSHhYMFhDLTRkbnJRMjlPSmZ2WkR6WVprdHlWakdNMTk3eG5uOEhRX1hLRFlDTnBlOWZWTmVfbE9HYXFzUC1LTlE?oc=5,AAPL
2025-03-05,"Apple unveils new Mac Studio, the most powerful Mac ever, featuring M4 Max and new M3 Ultra - Apple",https://news.google.com/rss/articles/CBMimwFBVV95cUxQWjJQbGJCb0NXX0J0amZGRFNpWkw4RTRYbmY3TFg2TU5qcllrd0IwMUcySXZaZExsZXhKZ1RLN3p3dHk3RWkyQ0Eya19OMnhlc2k4TDNsaGFLYWphd0NlU1lfRURUUlViR0xvRGFwTDFCM216eDBhVUR3RHN4Y3VGTXF6blRsd3BkeENTMUxrMmc4aFZ0ekhEUG1LVQ?oc=5,AAPL
2025-03-05,"Apple reveals M3 Ultra, taking Apple silicon to a new extreme - Apple",https://news.google.com/rss/articles/CBMiogFBVV95cUxPN3RzdlAwZlE2R1Zfdm5xMFlfWEdkaFF2T1JBdHZnTGV3SE9PakpqcXdyR0dRV05kVWlLWU5NaEtaWFZGOXN1REV4eFRZWGNHZnZObkVWRU81ZUJOQVhxRzBQbFhjTk1uXzZvSHJEV3NxZ0NIZW0yeFJUMnowdnBhRHRNSlppYXdLd2FVWFBoeDEwYjEyRkVvZE12YWxwdktNOGc?oc=5,AAPL
2025-03-10,Apple AI’s Platform Pivot Potential - Stratechery by Ben Thompson,https://news.google.com/rss/articles/CBMickFVX3lxTE04eWU0eGRMbzM3OHU0dUhxRGpUbTQ0dlJNWV94UHZsbnViNHl5UEFYTXhKZkRJVUpHLTZUcGo2Y0NNeFBmcUh0ZTBBdjh0U2t5MkVJeUpBaHI2YlRrc05USzlWS0hna0cwNzlVRXdGem13QQ?oc=5,AAPL
2025-03-11,Apple unveils immersive concert experience with Metallica for Apple Vision Pro - Apple,https://news.google.com/rss/articles/CBMiugFBVV95cUxQVjhEemdOcGZqa1JEenluNzd1dV9BN0k0ZXBwdU84OHZlNy05ZUVoaDVYMU5QZDJIdUF5V2NuNmthdUZlbXlBVUJfSVdmYk1BMmdVSXFvRWZjdUhKX0s4RWNWY2FCV3dmSFZnV25RWXI4SVJKSGJRS2VaX29fRDZrUXlLdndaOEo0WllQdmUyWDhNQjlteFQ4T0s4aXJNRFVYN0N0SFRrd2VoUFprTElpYkNHYjJkMTdyRHc?oc=5,AAPL
2025-03-11,Apple Arcade launches new Katamari and Space Invaders games in April - Apple,https://news.google.com/rss/articles/CBMirAFBVV95cUxQcHpVT1pGVk1BSkhuZEwyU3h2X1IzanpaMVI3Vm1NdzVyclQ1YlcyWUtXcFo2OTB4SzlOU0RvY0tLempLMnBxbFlJTC1FVFRHeUVSSURldm5Pc1lzWGZQOEw1SlhkbjZ3TmNpaHFQWFhidFhfVnVBeGtoVXF2R0xncFFGOTczdWJfMFpUdThjRTljVzM2Y2ZVYVI0LVlLdlpuckdLY09KQ0FVNmM2?oc=5,AAPL
2025-03-12,Watch These Apple Stock Price Levels as Sell-Off Continues - Investopedia,https://news.google.com/rss/articles/CBMiowFBVV95cUxPcjFYR0tLNm12cmxwb0JNYWNXaTBkdV81MkZnMV9YcmtaWTk4RmJHVEZlLW92X3VHOUpsVEZlN0s5WGRveUw0SDJwR0VmMDUyLV9vWlFuZ2dNWFhFTFVBbVRPRXpsN2NjUmstbDExU3JnbkE1YUFJMlhxN2pYZWFHWTVzc01UMHQzai1DN19FNFZ2WGJ4UWhaVFViYm5wUzQwaFhN?oc=5,AAPL
